departure_time,air_temp,dew_point,sea_level_pressure,wind_speed,sky_condition
2017-10-01 06:00:00,0.7519230769230769,0.525,0.41558441558441617,0.25,0.7777777777777778
2017-10-01 06:15:00,0.7519230769230769,0.525,0.41558441558441617,0.25,0.7777777777777778
2017-10-01 06:30:00,0.75,0.5,0.40981240981241074,0.1875,0.7777777777777778
2017-10-01 06:45:00,0.75,0.5,0.40981240981241074,0.1875,0.7777777777777778
2017-10-01 07:00:00,0.75,0.5,0.40981240981241074,0.1875,0.7777777777777778
2017-10-01 07:15:00,0.75,0.5,0.40981240981241074,0.1875,0.7777777777777778
2017-10-01 07:30:00,0.75,0.5178571428571429,0.4040404040404028,0.1875,0.7777777777777778
2017-10-01 07:45:00,0.75,0.5178571428571429,0.4040404040404028,0.1875,0.7777777777777778
2017-10-01 08:00:00,0.75,0.5178571428571429,0.4040404040404028,0.1875,0.7777777777777778
2017-10-01 08:15:00,0.75,0.5178571428571429,0.4040404040404028,0.1875,0.7777777777777778
2017-10-01 08:30:00,0.7307692307692307,0.49642857142857144,0.3982683982683974,0.125,0.7777777777777778
2017-10-01 08:45:00,0.7307692307692307,0.49642857142857144,0.3982683982683974,0.125,0.7777777777777778
2017-10-01 09:00:00,0.7307692307692307,0.49642857142857144,0.3982683982683974,0.125,0.7777777777777778
2017-10-01 09:15:00,0.7307692307692307,0.49642857142857144,0.3982683982683974,0.125,0.7777777777777778
2017-10-01 09:30:00,0.6923076923076923,0.5178571428571429,0.4155844155844137,0.125,0.7777777777777778
2017-10-01 09:45:00,0.6923076923076923,0.5178571428571429,0.4155844155844137,0.125,0.7777777777777778
2017-10-01 10:00:00,0.6923076923076923,0.5178571428571429,0.4155844155844137,0.125,0.7777777777777778
2017-10-01 10:15:00,0.6923076923076923,0.5178571428571429,0.4155844155844137,0.125,0.7777777777777778
2017-10-01 10:30:00,0.6730769230769231,0.48214285714285715,0.43290043290043245,0.1875,0.7777777777777778
2017-10-01 10:45:00,0.6730769230769231,0.48214285714285715,0.43290043290043245,0.1875,0.7777777777777778
2017-10-01 11:00:00,0.6730769230769231,0.48214285714285715,0.43290043290043245,0.1875,0.7777777777777778
2017-10-01 11:15:00,0.6730769230769231,0.48214285714285715,0.43290043290043245,0.1875,0.7777777777777778
2017-10-01 11:30:00,0.6423076923076922,0.5410714285714285,0.4502164502164488,0.0625,0.7777777777777778
2017-10-01 11:45:00,0.6423076923076922,0.5410714285714285,0.4502164502164488,0.0625,0.7777777777777778
2017-10-01 12:00:00,0.6423076923076922,0.5410714285714285,0.4502164502164488,0.0625,0.7777777777777778
2017-10-01 12:15:00,0.6423076923076922,0.5410714285714285,0.4502164502164488,0.0625,0.7777777777777778
2017-10-01 12:30:00,0.5769230769230769,0.5535714285714286,0.46536796536796493,0.1875,0.8518518518518519
2017-10-01 12:45:00,0.5769230769230769,0.5535714285714286,0.46536796536796493,0.1875,0.8518518518518519
2017-10-01 13:00:00,0.5769230769230769,0.5535714285714286,0.46536796536796493,0.1875,0.8518518518518519
2017-10-01 13:15:00,0.5769230769230769,0.5535714285714286,0.46536796536796493,0.1875,0.8518518518518519
2017-10-01 13:30:00,0.6346153846153846,0.5535714285714286,0.48051948051947857,0.1875,0.925925925925926
2017-10-01 13:45:00,0.6346153846153846,0.5535714285714286,0.48051948051947857,0.1875,0.925925925925926
2017-10-01 14:00:00,0.6346153846153846,0.5535714285714286,0.48051948051947857,0.1875,0.925925925925926
2017-10-01 14:15:00,0.6346153846153846,0.5535714285714286,0.48051948051947857,0.1875,0.925925925925926
2017-10-01 14:30:00,0.6365384615384616,0.5267857142857143,0.4956709956709947,0.125,1.0
2017-10-01 14:45:00,0.6365384615384616,0.5267857142857143,0.4956709956709947,0.125,1.0
2017-10-01 15:00:00,0.6365384615384616,0.5267857142857143,0.4956709956709947,0.125,1.0
2017-10-01 15:15:00,0.6365384615384616,0.5267857142857143,0.4956709956709947,0.125,1.0
2017-10-01 15:30:00,0.6346153846153846,0.7142857142857143,0.5,0.125,1.0
2017-10-01 15:45:00,0.6346153846153846,0.7142857142857143,0.5,0.125,1.0
2017-10-01 16:00:00,0.6346153846153846,0.7142857142857143,0.5,0.125,1.0
2017-10-01 16:15:00,0.6346153846153846,0.7142857142857143,0.5,0.125,1.0
2017-10-01 16:30:00,0.5961538461538461,0.7142857142857143,0.5043290043290029,0.125,1.0
2017-10-01 16:45:00,0.5961538461538461,0.7142857142857143,0.5043290043290029,0.125,1.0
2017-10-01 17:00:00,0.5961538461538461,0.7142857142857143,0.5043290043290029,0.125,1.0
2017-10-01 17:15:00,0.5961538461538461,0.7142857142857143,0.5043290043290029,0.125,1.0
2017-10-01 17:30:00,0.6307692307692307,0.6875,0.5086580086580081,0.1875,1.0
2017-10-01 17:45:00,0.6307692307692307,0.6875,0.5086580086580081,0.1875,1.0
2017-10-01 18:00:00,0.6307692307692307,0.6875,0.5086580086580081,0.1875,1.0
2017-10-01 18:15:00,0.6307692307692307,0.6875,0.5086580086580081,0.1875,1.0
2017-10-01 18:30:00,0.5961538461538461,0.6964285714285714,0.5252525252525244,0.0,1.0
2017-10-01 18:45:00,0.5961538461538461,0.6964285714285714,0.5252525252525244,0.0,1.0
2017-10-01 19:00:00,0.5961538461538461,0.6964285714285714,0.5252525252525244,0.0,1.0
2017-10-01 19:15:00,0.5961538461538461,0.6964285714285714,0.5252525252525244,0.0,1.0
2017-10-01 19:30:00,0.5961538461538461,0.6785714285714286,0.5418470418470407,0.125,1.0
