2017 01 04 12    -9   -31 10276    70    10     7 -9999 -9999
2017 01 04 13   -20   -30 -9999   110    30     0 -9999 -9999
2017 01 04 14   -20   -20 -9999   110    30     0 -9999 -9999
2017 01 04 15   -26   -33 10292    90    20     9 -9999 -9999
2017 01 04 16   -10   -10 -9999   110    30     0 -9999 -9999
2017 01 04 17   -10   -10 -9999 -9999    10     0 -9999 -9999
2017 01 04 18   -11   -19 10296    20    10     9 -9999 -9999
2017 01 04 19     0   -10 -9999   360    20     0 -9999 -9999
2017 01 04 20   -10   -20 -9999    10    30     0 -9999 -9999
2017 01 04 21     3   -13 10301    40    20     9 -9999 -9999
2017 01 04 22   -10   -10 -9999   350    30     0 -9999 -9999
2017 01 04 23   -10   -20 -9999   360    40     0 -9999 -9999
2017 01 05 00     2   -15 10319    20    30     8 -9999 -9999
2017 01 05 01     0   -30 -9999    10    20     0 -9999 -9999
2017 01 05 02     0   -30 -9999   340    40     0 -9999 -9999
2017 01 05 03    18   -14 10328    70    20     7 -9999 -9999
2017 01 05 04    20   -20 -9999   350    40     0 -9999 -9999
2017 01 05 05    30   -30 -9999   320    30     0 -9999 -9999
2017 01 05 06    36   -51 10302    70    20     8 -9999 -9999
2017 01 05 07    30   -40 -9999 -9999    10     0 -9999 -9999
2017 01 05 08    30   -50 -9999 -9999    10     0 -9999 -9999
2017 01 05 09    32   -45 10304    40    10     7 -9999 -9999
2017 01 05 10    30   -40 -9999   310    20     0 -9999 -9999
2017 01 05 11     0   -60 -9999     0     0     0 -9999 -9999
2017 01 05 12    10   -44 10307    70    10     6 -9999 -9999
2017 01 05 13   -20   -50 -9999     0     0     0 -9999 -9999
2017 01 05 14   -30   -50 -9999     0     0     0 -9999 -9999
2017 01 05 15   -24   -46 10307   180    10     9 -9999 -9999
2017 01 05 16   -40   -60 -9999     0     0     0 -9999 -9999
2017 01 05 17   -50   -70 -9999 -9999    10     0 -9999 -9999
2017 01 05 18   -36   -61 10297    90    10     9 -9999 -9999
2017 01 05 19   -50   -60 -9999     0     0     0 -9999 -9999
2017 01 05 20   -50   -60 -9999 -9999    10     0 -9999 -9999
2017 01 05 21   -43   -63 10287    20    10     9 -9999 -9999
2017 01 05 22   -50   -60 -9999     0     0     0 -9999 -9999
2017 01 05 23   -50   -60 -9999     0     0     0 -9999 -9999
2017 01 06 00   -38   -58 10291    90    10     7 -9999 -9999
2017 01 06 01   -10   -40 -9999 -9999    10     0 -9999 -9999
2017 01 06 02    10   -30 -9999 -9999    10     0 -9999 -9999
2017 01 06 03    27   -59 10289   220    10     6 -9999 -9999
2017 01 06 04    40   -40 -9999   340    20     0 -9999 -9999
2017 01 06 05    50   -40 -9999   360    20     0 -9999 -9999
2017 01 06 06    53   -40 10255   270    10     7 -9999 -9999
2017 01 06 07    40   -40 -9999   350    20     0 -9999 -9999
2017 01 06 08    40   -40 -9999 -9999    10     0 -9999 -9999
2017 01 06 09    34   -38 10251   220    10     6 -9999 -9999
2017 01 06 10   -20   -50 -9999   140    10     0 -9999 -9999
2017 01 06 11   -30   -60 -9999     0     0     0 -9999 -9999
2017 01 06 12    24   -23 10258   220    10     7 -9999 -9999
2017 01 06 13   -10   -40 -9999    80    10     0 -9999 -9999
2017 01 06 14   -10   -30 -9999    90    10     0 -9999 -9999
2017 01 06 15    19   -21 10252    40    10     9 -9999 -9999
2017 01 06 16     0   -30 -9999    10    10     0 -9999 -9999
2017 01 06 17     0   -30 -9999   100    10     0 -9999 -9999
2017 01 06 18    17   -21 10247    40    10     9 -9999 -9999
2017 01 06 19     0   -40 -9999   150    10     0 -9999 -9999
2017 01 06 20   -10   -40 -9999 -9999    10     0 -9999 -9999
2017 01 06 21    16   -33 10239    40    10     9 -9999 -9999
2017 01 06 22   -10   -30 -9999   340    10     0 -9999 -9999
2017 01 06 23     0   -30 -9999   100    10     0 -9999 -9999
2017 01 07 00    18   -35 10244    40    10     8 -9999 -9999
2017 01 07 01     0   -40 -9999    70    10     0 -9999 -9999
2017 01 07 02    10   -40 -9999    10    20     0 -9999 -9999
2017 01 07 03    37   -40 10252    40    20     8 -9999 -9999
2017 01 07 04    10   -10 -9999   360    20     0 -9999 -9999
2017 01 07 05    20     0 -9999    10    20     0 -9999 -9999
2017 01 07 06    19     1 10233    40    30     8 -9999    -1
2017 01 07 07    20     0 -9999 -9999    10     0 -9999 -9999
2017 01 07 08    20    10 -9999   120    10     0 -9999 -9999
2017 01 07 09    20     4 10238    90    30     8 -9999 -9999
2017 01 07 10    10     0 -9999 -9999    10     0 -9999 -9999
2017 01 07 11    10     0 -9999     0     0     0 -9999 -9999
2017 01 07 12    13    -3 10247    90    10     7 -9999     2
