,Ride-hailing (Express),Ride-splitting,Ride-hailing (Premier)
0,49.49884736630143,93.27922551347748,92.70051313030315
1,26.604070324542764,5.934449166076463,4.83493382771598
2,12.116436834284602,0.6405970087072449,1.374949659070394
3,5.619262869919038,0.10517782499409796,0.5490633115305031
4,2.7598980682970184,0.02711466622227777,0.24840644919385077
5,1.4344908275354469,0.008505881209293282,0.1279527559055118
>=6,1.9669937091196934,0.0049299393131414125,0.16418086628060383
